nrmse,d,spectral_radius,material_w_in_0,material_w_in_1
0.2598714862347369,1,0.1,0.0,0.1
0.2601129088505686,1,0.0,0.0,0.1
0.2616088155682269,1,0.0,0.0,0.06
0.2626003140411816,1,0.1,0.0,0.06
0.26264346430066676,1,0.3,0.0,0.1
0.2646481550623139,1,0.3,0.0,0.06
0.26638822319894184,1,0.6,0.0,0.1
0.2670947433678824,1,0.0,0.0,0.005
0.26725405246793343,1,0.0,0.0,0.01
0.26757879563055786,1,0.1,0.0,0.01
0.26761025227322666,1,0.1,0.0,0.005
0.2677363679079347,1,0.8,0.0,0.1
0.26874319512406686,1,0.6,0.0,0.06
0.269985230818126,1,0.3,0.0,0.01
0.2712446863702036,1,0.3,0.0,0.005
0.2716730673398461,2,0.1,0.0,0.01
0.2716875541631979,2,0.0,0.0,0.01
0.27174324774236347,2,0.1,0.0,0.005
0.2720793881057324,2,0.0,0.0,0.005
0.27281646899531936,2,0.3,0.0,0.01
0.27350546179625224,1,0.8,0.0,0.06
0.27362358751740856,2,0.3,0.0,0.005
0.2758762693117334,2,0.6,0.0,0.005
0.27617416961559643,1,0.6,0.0,0.01
0.2768850306847537,2,0.6,0.0,0.01
0.27704462737713903,1,0.6,0.0,0.005
0.2788137394793537,2,0.8,0.0,0.005
0.2793678398207664,3,0.0,0.0,0.005
0.27962549250688706,3,0.1,0.0,0.005
0.2797701497915851,3,0.3,0.0,0.005
0.28052275176406055,1,0.8,0.0,0.01
0.2810010962666136,1,0.8,0.0,0.005
0.28136837781340457,3,0.0,0.0,0.01
0.2818259326536745,2,0.8,0.0,0.01
0.2820887990674214,3,0.6,0.0,0.005
0.2830816863605405,3,0.1,0.0,0.01
0.28723828470730234,3,0.8,0.0,0.005
0.2873749232682245,3,0.3,0.0,0.01
0.2911993950717159,4,0.0,0.0,0.005
0.29458344382754165,4,0.1,0.0,0.005
0.29679170433929786,2,0.0,0.0,0.06
0.2998920302604825,4,0.3,0.0,0.005
0.30096480196541014,3,0.6,0.0,0.01
0.3026776098803329,2,0.1,0.0,0.06
0.304580865003452,4,0.6,0.0,0.005
0.31084000161170383,4,0.8,0.0,0.005
0.31629886736701524,2,0.3,0.0,0.06
0.3189925725684696,3,0.8,0.0,0.01
0.3259608355501732,4,0.0,0.0,0.01
0.33553241094837205,4,0.1,0.0,0.01
0.33694887487493563,5,0.0,0.0,0.005
0.3406958173870631,2,0.0,0.0,0.1
0.34319168625848706,5,0.1,0.0,0.005
0.34398685275925156,5,0.6,0.0,0.005
0.3468165960617703,4,0.3,0.0,0.01
0.3495798657580539,5,0.3,0.0,0.005
0.3518964424339427,2,0.6,0.0,0.06
0.35268496857561893,5,0.8,0.0,0.005
0.35481208881194665,4,0.6,0.0,0.01
0.3553660713026219,2,0.1,0.0,0.1
0.3703428559038351,4,0.8,0.0,0.01
0.3708615402892895,2,0.3,0.0,0.1
0.3839124943602553,2,0.8,0.0,0.06
0.3939873500232824,6,0.0,0.0,0.005
0.3960817939356059,6,0.8,0.0,0.005
0.3965820473212167,6,0.6,0.0,0.005
0.397304386129557,5,0.0,0.0,0.01
0.409132145558008,2,0.6,0.0,0.1
0.41072353060957373,6,0.1,0.0,0.005
0.4128721432174954,5,0.1,0.0,0.01
0.41601984341158327,6,0.3,0.0,0.005
0.41944825109640604,5,0.3,0.0,0.01
0.42563126625357395,5,0.6,0.0,0.01
0.4396528694339936,5,0.8,0.0,0.01
0.4414626962057692,2,0.8,0.0,0.1
0.45096188870147663,7,0.8,0.0,0.005
0.45104696173612385,3,0.0,0.0,0.06
0.4513619452602311,7,0.6,0.0,0.005
0.4552864082339999,3,0.1,0.0,0.06
0.4609839421660718,7,0.0,0.0,0.005
0.4666823672853999,7,0.1,0.0,0.005
0.4718950602530492,7,0.3,0.0,0.005
0.48040077974904916,6,0.0,0.0,0.01
0.4856047428519805,3,0.3,0.0,0.06
0.48886404665685046,6,0.6,0.0,0.01
0.48914962136510337,6,0.1,0.0,0.01
0.5023620886387699,6,0.8,0.0,0.01
0.5095742744289027,6,0.3,0.0,0.01
0.5193477523494461,3,0.6,0.0,0.06
0.5302287518901162,3,0.8,0.0,0.06
0.5496341334686193,7,0.0,0.0,0.01
0.5513280887304886,3,0.0,0.0,0.1
0.5544142031772342,7,0.8,0.0,0.01
0.5583653011432099,7,0.6,0.0,0.01
0.5598362238637795,3,0.1,0.0,0.1
0.5617678752643295,7,0.1,0.0,0.01
0.5722596151333054,7,0.3,0.0,0.01
0.5834097935022902,3,0.3,0.0,0.1
0.5960028002057871,4,0.0,0.0,0.06
0.5986523893022568,4,0.1,0.0,0.06
0.6020254673402858,3,0.6,0.0,0.1
0.612927636044072,3,0.8,0.0,0.1
0.6191513704934429,4,0.3,0.0,0.06
0.6340965306168136,4,0.6,0.0,0.06
0.657477063806551,4,0.8,0.0,0.06
0.679850777831339,4,0.0,0.0,0.1
0.6904108116269513,4,0.1,0.0,0.1
0.6924382570336084,5,0.1,0.0,0.06
0.6936116064609182,5,0.0,0.0,0.06
0.7027209149679777,4,0.3,0.0,0.1
0.7093947161220642,5,0.3,0.0,0.06
0.7128654657587952,4,0.6,0.0,0.1
0.7202048991233299,5,0.6,0.0,0.06
0.725104228067006,4,0.8,0.0,0.1
0.7299665224826996,5,0.8,0.0,0.06
0.7524756143405517,6,0.1,0.0,0.06
0.7554678318530446,6,0.0,0.0,0.06
0.7592537237242212,5,0.0,0.0,0.1
0.7615035648115057,5,0.1,0.0,0.1
0.7741206030085762,5,0.3,0.0,0.1
0.776055914109717,6,0.3,0.0,0.06
0.7788626226203417,6,0.6,0.0,0.06
0.7831634038500623,5,0.6,0.0,0.1
0.7850916782469917,6,0.8,0.0,0.06
0.7875056582977016,5,0.8,0.0,0.1
0.7969033099675935,7,0.0,0.0,0.06
0.8057130457971298,7,0.1,0.0,0.06
0.8105493397829037,6,0.0,0.0,0.1
0.8124144141474976,7,0.3,0.0,0.06
0.8169320605108367,6,0.1,0.0,0.1
0.8191576027925893,7,0.6,0.0,0.06
0.8207143950128615,7,0.8,0.0,0.06
0.8276484335621421,6,0.3,0.0,0.1
0.8286859270418563,6,0.6,0.0,0.1
0.8331408663618232,6,0.8,0.0,0.1
0.8518405459661647,7,0.1,0.0,0.1
0.8553061777904944,7,0.0,0.0,0.1
0.8609439508704267,7,0.6,0.0,0.1
0.8616692426350705,7,0.3,0.0,0.1
0.8624593298199503,7,0.8,0.0,0.1
