nrmse,d
0.33279289165289144,1
0.34403399789460193,2
0.35886897798878725,3
0.3654912501532266,4
0.37393676883317933,5
0.38709211171523594,6
0.391650766065738,7
0.3991846360103804,8
0.4070750398528048,9
0.4110713628472793,10
0.4202622561135255,11
0.42578876037785357,12
0.43109371437498467,13
0.43770192025314886,14
0.4409713395179257,15
0.44617111354541844,16
0.4507715739946272,17
0.45183374523322817,18
0.4573747430823988,19
0.4611552098963042,20
0.4618812968374001,21
0.4648523583994205,22
0.46781572766607893,23
0.4705278602939506,24
0.47126271861773256,25
